Payee Name,Custom Category
1X TECH, Hardware
76 - BODEGA BAY 76, Transport
ADAM CAD, AI
AMAZON MKTPL, Shopping
AMAZON MKTPLACE PMTS, Shopping
AMAZON PRIME,
Amazon.com, Shopping
AMZN Digital, Shopping
ANNUAL MEMBERSHIP FEE, Fee
ANTHROPIC, AI
AQUA VOICE, AI
ASTRAL CODEX TEN,
ATAMI SUSHI BAR & GRILL, Food
AUTOMATIC PAYMENT - THANK, Credit Card Payment
BEST BUY, Hardware
BISSAP BAOBAB., Food
BOOST, ISP
CAFE, Food
CASH ADVANCE INTEREST CHA, Fee
CHASE CHESTNUT ST, Withdrawal
CHESTNUT DINER, Food
CLAUDE.AI, AI
CODEANYWHERE.COM, AI
COFF.EE* PEWU, Food
COMET CLUB, Food
D J*WSJ, Subscription
DIGITAL TAX, ??
EDDIEBAUER 4374, Clothes
EXPERIMENT* BRAIN,
EXPERIMENT* HOW CA,
EYEBUYDIRECT, Hardware
Fiverr, Consulting
FiverrInc, Consulting
FREDERICKSEN, Hardware
FS *raindrop.io, Hosting
FS.BLOG, Subscription
FSP*MARTHA KLUFAS O.D, Medical
FSP*SAN FRANCISCO,
GAP OUTLET US 7722, Clothes
GENI, Subscription
GLOBAL.ROK*, Hardware
GLOBAL.ROKID, Hardware
GOOGLE *Google One,
GOOGLE *Google Store,
GOOGLE *ONE AI Premium,
GOOGLE *Perplexity AI,
GRAMMARLY CO, AI
GROUPS.IO, Hosting
HORSESHOE,
HRBLOCK,
IKEA,
IN *DAVIS SIGN COMPANY I,Hardware
INTERNET, Charity
JACKOHMAN.NET, Subscription
JOURNEY HEA, Hardware
KICKSTARTER.COM, Hardware
Kindle Svcs, Subscription
KREA.AI INC, AI
KULETOS SAN FRAN, Food
LASTPASS.COM, Hosting
LEFT DOOR, Food
LONGNOW, Charity
MAUNA LOA, Food
MED*UCSF SCHOOL OF DENT, Medical
MGP*Leetchi SA,
Microsoft*Microsoft 365 F, Hosting
Microsoft*Store, Hardware
MONOCIRCUS.COM, Clothes
MYHERITAGE.COM, Subscription
NATE: CONSULT &, Subscription
OLD NAVY US 7195, Clothes
OLIVER'S MARKET, Food
OMI AI, Hardware
OPY*manlytshirt, Clothes
PADDLE.NET* KAIBER AI, AI
PAYPAL,??
PAYPAL *GOFUNDME PP GOFND,
PAYPAL *MARGIN LTD,
PDF-XCHANGE.CO LTD -, Software
PERRY'S ON UNION ST, Food
PETALUMA VILLAGE CAFE, Food
PLAUD AI, Hardware
PLUMPJACK WINES, Food
POSTANLY W* THOMAS OPP, Subscription
PROMPTSMART, Software
PY *CALIFORNIA WINE MERCH, Food
RECOMENDO/COOL TOOLS, Subscription
REDS JAVA HOUSE INC, Food
RIVERFRONT CAFE, Food
ROADREADY*, ??
SAFEWAY, Food
SAFEWAY.COM, Food
Samsung, Hardware
SAN FRANCISCO AUXILIARY T, Charity
SAVOY, Food
SENSAY, AI
SFZC.ORG, Charity
SILVER CLOUD, Food
SODINIS, Food
SOUTHERN CALIFORNIA TROPH, Hardware
SP,??
SP INNOVATIVE,
SP NAKED BELT, hardware
SPO, ??
SPO*BAR49, Food
SQ, Food
SQ *CAFE, Food
SQ *GOODY CAFE,
SQ *JAKE'S, Food
SQ *LA FROMAGERIE, Food
SQ *MAIL BOXES &CO, Fee
SQ *NORTH BEACH, Food
SQ *PIAZZA, Food
SQ *TOMMY'S JOYNT, Food
SQSP*, Hosting
SQSP* DOMAIN, Hosting
ST. ANDREWS, Charity
SUBSTACK.COM, Subscription
SUBSTACK: PAUL, Subscription
SUGR*,
SULLY'S MARINA, Food
TACOLICIOUS, Food
TECHENHANCEDLIFE, Subscription
THE,
THE BRAZEN HEAD, Food
THE INK, Subscription
THE STUD, Food
TIDAL.COM, Subscription
TILLER MONEY FEEDS, Subscription
TRANSACTION FEE, Fee
TRATTORIA, Food
TRAVEL CREDIT $300/YEAR, Fee
TST, Food
TST*, Food
TST* ATELIER CRENN, Food
TST* DRAKES BODEGA BAY II, Food
TST* EQUATOR COFFEES - FO, Food
TST* IZZY'S STEAKS & CHOP, Food
TST* L'MIDA, Food
TST* MILO'S MEZE, Food
TST* SMILEY'S, Food
TST* THE, Food
TST*BEACH CHALET PARK C, Food
TST*CHARLIES ST., Food
TST*COSTEAUX FRENCH BAKE, foo
TST*IZZYS STEAKS & CHOP, foo
TST*MELS DRIVE IN - SF, Food
TST*NORTH BEACH, Food
TST*ROCKER, Food
TST*TIYA, Food
TST*UNITED DUM PLINGS CHE, Food
TURO INC.* TRIP APR 13, Transport
UBER *TRIP, Transport
UBER *TRIP HELP.UBER.COM, Transport
UCB ENV DESIGN, Hardware
UCSF PERIODONTIC, Medical
WALGREENS, Shopping
WAYMO, Transport
WISPR, AI
WWW.PERPLEXITY.AI, AI
X CORP. PAID, Subscription
ZOOM.COM 888-799-9666, Subscription
