Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,12/31/2025,"Zelle payment to Jennifer Arthur JPM99c0gi38f",-135.88,CHASE_TO_PARTNERFI,23257.94,,
CREDIT,12/31/2025,"CT-EASTERN       TRANSFERS                  PPD ID: 4061271230",415.34,ACH_CREDIT,23393.82,,
CREDIT,12/31/2025,"CT-EASTERN       TRANSFERS                  PPD ID: 4061271230",14674.34,ACH_CREDIT,22978.48,,
DEBIT,12/26/2025,"WITHDRAWAL 12/26",-150.00,MISC_DEBIT,8304.14,,
DEBIT,12/23/2025,"Online Payment 27036619101 To Lawrence Fine Art Services 12/23",-320.40,BILLPAY,8454.14,,
DEBIT,12/22/2025,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-3045.38,ACH_DEBIT,8774.54,,
CREDIT,12/22/2025,"PERSHING         BROKERAGE                  PPD ID: 1132741729",9000.00,ACH_CREDIT,11819.92,,
DEBIT,12/08/2025,"PAYPAL           INST XFER  FLICKR          WEB ID: PAYPALSI77",-11.00,ACH_DEBIT,2819.92,,
DEBIT,12/05/2025,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-3370.40,ACH_DEBIT,2830.92,,
DEBIT,12/03/2025,"SF LADIES PROTEC DEBITS                     PPD ID: 1941156611",-450.00,ACH_DEBIT,6201.32,,
CREDIT,12/03/2025,"SSA  TREAS 310   XXSOC SEC                  PPD ID: 9031736026",1281.40,ACH_CREDIT,6651.32,,
DEBIT,12/02/2025,"Heritage         SIGONFILE                  PPD ID: 9001765670",-4739.00,ACH_DEBIT,5369.92,,
DEBIT,12/01/2025,"Zelle payment to Michael Garcia JPM99bwn5jsq",-100.00,CHASE_TO_PARTNERFI,10108.92,,
CREDIT,12/01/2025,"Zelle payment from VISHAGAN RATNASWAMY BACapgi4zi45",250.00,PARTNERFI_TO_CHASE,10208.92,,
CREDIT,11/28/2025,"PERSHING         BROKERAGE                  PPD ID: 1132741729",2855.18,ACH_CREDIT,9958.92,,
DEBIT,11/26/2025,"Online Payment 27093181253 To Lawrence Fine Art Services 11/26",-36.85,BILLPAY,7103.74,,
