Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/28/2025,12/29/2025,GOOGLE *GitHub,Professional Services,Sale,-38.99,
12/28/2025,12/29/2025,GOOGLE *Google One,Professional Services,Sale,-19.99,
12/28/2025,12/28/2025,Marina Cleaners  Inc.,Personal,Sale,-32.00,
12/26/2025,12/26/2025,NETFLIX.COM,Bills & Utilities,Sale,-7.99,
12/22/2025,12/23/2025,GITHUB  INC.,Professional Services,Sale,-43.00,
12/22/2025,12/23/2025,GITHUB,Professional Services,Sale,-5.00,
12/22/2025,12/23/2025,SF CHRONICLE SUBSCRIPT,Bills & Utilities,Sale,-19.96,
12/21/2025,12/21/2025,Marina Cleaners  Inc.,Personal,Sale,-36.00,
12/20/2025,12/21/2025,FLICKR PRO MONTHLY,Personal,Sale,-11.00,
12/17/2025,12/18/2025,GOOGLE *FI G5wQMP,Bills & Utilities,Sale,-143.19,
12/16/2025,12/17/2025,OPENAI *CHATGPT SUBSCR,Shopping,Sale,-20.00,
12/15/2025,12/16/2025,ST. PAULS SCHOOL,Gifts & Donations,Sale,-20.00,
12/14/2025,12/15/2025,Marina Cleaners  Inc.,Personal,Sale,-32.00,
12/15/2025,12/15/2025,Spotify P3D7018105,Bills & Utilities,Sale,-31.98,
12/12/2025,12/14/2025,BUCKINGHAM BROWNE &amp;,Gifts & Donations,Sale,-25.00,
12/13/2025,12/14/2025,SYR UNIV ONLINE GIFTS,Education,Sale,-25.00,
12/13/2025,12/14/2025,NYTIMES*,Bills & Utilities,Sale,-33.00,
12/09/2025,12/11/2025,SILVERSCRIPT INS CO,Health & Wellness,Sale,-56.50,
12/08/2025,12/08/2025,MICROSOFT*MICROSOFT CO,Shopping,Sale,-20.00,
12/07/2025,12/08/2025,Marina Cleaners  Inc.,Personal,Sale,-32.00,
12/04/2025,12/04/2025,AUTOMATIC PAYMENT - THANK,,Payment,3370.40,
12/03/2025,12/03/2025,PUBLIC STORAGE 08482,Home,Sale,-1201.00,
12/03/2025,12/03/2025,PUBLIC STORAGE 08482,Home,Sale,-671.00,
12/01/2025,12/03/2025,PAYPAL *WIKIPEDIA,Gifts & Donations,Sale,-5.00,
12/01/2025,12/01/2025,ANNUAL MEMBERSHIP FEE,Fees & Adjustments,Fee,-95.00,
12/01/2025,12/01/2025,SHOEBOXED.COM,Shopping,Sale,-69.00,
11/30/2025,12/01/2025,PAYPAL *INTERNETARC,Gifts & Donations,Sale,-50.00,
11/30/2025,12/01/2025,BLUE SHIELD CALIFORNIA,Bills & Utilities,Sale,-345.00,
11/28/2025,11/30/2025,GOOGLE *Google One,Entertainment,Sale,-19.99,
11/30/2025,11/30/2025,Marina Cleaners  Inc.,Personal,Sale,-36.00,
11/28/2025,11/30/2025,GOOGLE *GitHub,Entertainment,Sale,-38.99,
11/26/2025,11/27/2025,NETFLIX.COM,Bills & Utilities,Sale,-7.99,
11/24/2025,11/25/2025,SF CHRONICLE SUBSCRIPT,Bills & Utilities,Sale,-19.96,
11/24/2025,11/24/2025,Spotify P3CB5C2841,Bills & Utilities,Sale,-19.99,
11/23/2025,11/24/2025,Marina Cleaners  Inc.,Personal,Sale,-36.00,
11/22/2025,11/23/2025,GITHUB,Professional Services,Sale,-5.00,
11/22/2025,11/23/2025,GITHUB  INC.,Professional Services,Sale,-43.00,
11/20/2025,11/20/2025,FLICKR PRO MONTHLY,Personal,Sale,-11.00,
11/19/2025,11/20/2025,LORENZOLUCCHESI.SUBSTA,Shopping,Sale,-80.00,
11/17/2025,11/18/2025,GOOGLE *FI w5CHHF,Bills & Utilities,Sale,-143.19,
11/17/2025,11/18/2025,ST. PAULS SCHOOL,Gifts & Donations,Sale,-20.00,
11/16/2025,11/17/2025,Marina Cleaners  Inc.,Personal,Sale,-36.00,
11/16/2025,11/17/2025,OPENAI *CHATGPT SUBSCR,Shopping,Sale,-20.00,
11/15/2025,11/16/2025,NYTIMES*,Bills & Utilities,Sale,-33.00,
11/13/2025,11/14/2025,SYR UNIV ONLINE GIFTS,Education,Sale,-25.00,
11/12/2025,11/13/2025,BUCKINGHAM BROWNE &amp;,Gifts & Donations,Sale,-25.00,
11/10/2025,11/11/2025,Marina Cleaners  Inc.,Personal,Sale,-36.00,
11/09/2025,11/11/2025,SILVERSCRIPT INS CO,Health & Wellness,Sale,-56.50,
11/08/2025,11/09/2025,Microsoft*Microsoft Copil,Shopping,Sale,-20.00,
11/04/2025,11/04/2025,AUTOMATIC PAYMENT - THANK,,Payment,3023.13,
11/02/2025,11/03/2025,Marina Cleaners  Inc.,Personal,Sale,-36.00,
11/03/2025,11/03/2025,PUBLIC STORAGE 08482,Home,Sale,-1201.00,
11/03/2025,11/03/2025,PUBLIC STORAGE 08482,Home,Sale,-671.00,
10/31/2025,11/02/2025,PAYPAL *INTERNETARC,Gifts & Donations,Sale,-50.00,
10/31/2025,11/02/2025,BLUE SHIELD CALIFORNIA,Bills & Utilities,Sale,-345.00,
11/01/2025,11/02/2025,PAYPAL *WIKIPEDIA,Gifts & Donations,Sale,-5.00,
11/01/2025,11/02/2025,SHOEBOXED.COM,Shopping,Sale,-69.00,
10/28/2025,10/29/2025,GOOGLE *GitHub,Entertainment,Sale,-38.99,
10/28/2025,10/29/2025,GOOGLE *Google One,Entertainment,Sale,-19.99,
10/27/2025,10/28/2025,SF CHRONICLE SUBSCRIPT,Bills & Utilities,Sale,-19.96,
10/26/2025,10/27/2025,Marina Cleaners  Inc.,Personal,Sale,-36.00,
10/26/2025,10/27/2025,NETFLIX.COM,Bills & Utilities,Sale,-7.99,
10/24/2025,10/24/2025,Spotify P3BC333F4B,Bills & Utilities,Sale,-19.99,
10/22/2025,10/23/2025,GITHUB,Professional Services,Sale,-5.00,
10/22/2025,10/23/2025,GITHUB  INC.,Professional Services,Sale,-43.00,
10/20/2025,10/21/2025,FLICKR PRO MONTHLY,Personal,Sale,-11.00,
10/20/2025,10/20/2025,Evernote,Shopping,Sale,-129.99,
10/19/2025,10/19/2025,Marina Cleaners  Inc.,Personal,Sale,-36.00,
10/17/2025,10/19/2025,GOOGLE *FI 5ZwG6K,Bills & Utilities,Sale,-142.99,
10/18/2025,10/19/2025,NYTIMES*,Bills & Utilities,Sale,-33.00,
10/16/2025,10/17/2025,OPENAI *CHATGPT SUBSCR,Shopping,Sale,-20.00,
10/15/2025,10/16/2025,ST. PAULS SCHOOL,Gifts & Donations,Sale,-20.00,
10/13/2025,10/15/2025,CALIFORNIA WINE MERCHANT,Entertainment,Sale,-283.00,
10/13/2025,10/14/2025,SYR UNIV ONLINE GIFTS,Education,Sale,-25.00,
10/12/2025,10/13/2025,BUCKINGHAM BROWNE &amp;,Gifts & Donations,Sale,-25.00,
10/09/2025,10/12/2025,SILVERSCRIPT INS CO,Health & Wellness,Sale,-56.50,
10/08/2025,10/08/2025,Microsoft*Microsoft Copil,Shopping,Sale,-20.00,
10/05/2025,10/06/2025,Marina Cleaners  Inc.,Personal,Sale,-36.00,
10/03/2025,10/03/2025,AUTOMATIC PAYMENT - THANK,,Payment,3074.26,
10/03/2025,10/03/2025,PUBLIC STORAGE 08482,Home,Sale,-1201.00,
10/03/2025,10/03/2025,PUBLIC STORAGE 08482,Home,Sale,-671.00,
10/01/2025,10/02/2025,SHOEBOXED.COM,Shopping,Sale,-69.00,
10/01/2025,10/02/2025,PAYPAL *WIKIPEDIA,Gifts & Donations,Sale,-5.00,
09/30/2025,10/01/2025,BLUE SHIELD CALIFORNIA,Bills & Utilities,Sale,-345.00,
