Transaction Date,Description,Category,Type,Amount
2025-12-28,GOOGLE *GitHub,Professional Services,Sale,-38.99
2025-12-28,GOOGLE *Google One,Professional Services,Sale,-19.99
2025-12-28,Marina Cleaners Inc.,Personal,Sale,-32.00
2025-12-26,NETFLIX.COM,Bills & Utilities,Sale,-7.99
2025-12-22,GITHUB INC.,Professional Services,Sale,-43.00
2025-12-22,GITHUB,Professional Services,Sale,-5.00
2025-12-22,SF CHRONICLE,Bills & Utilities,Sale,-19.96
2025-12-21,Marina Cleaners Inc.,Personal,Sale,-36.00
2025-12-20,FLICKR PRO,Personal,Sale,-11.00
2025-12-17,GOOGLE *FI,Bills & Utilities,Sale,-143.19
2025-12-16,OPENAI *CHATGPT,Shopping,Sale,-20.00
2025-12-15,ST. PAULS,Gifts & Donations,Sale,-20.00
2025-12-14,Marina Cleaners Inc.,Personal,Sale,-32.00
2025-12-15,Spotify,Bills & Utilities,Sale,-31.98
2025-12-12,BUCKINGHAM BROWNE &,Gifts & Donations,Sale,-25.00
2025-12-13,SYR UNIV ONLINE GIFTS,Education,Sale,-25.00
2025-12-13,NYTIMES*,Bills & Utilities,Sale,-33.00
2025-12-09,SILVERSCRIPT INS CO,Health & Wellness,Sale,-56.50
2025-12-08,MICROSOFT*MICROSOFT CO,Shopping,Sale,-20.00
2025-12-07,Marina Cleaners Inc.,Personal,Sale,-32.00
2025-12-04,AUTOMATIC PAYMENT - THANK,,Payment,3370.40
2025-12-03,PUBLIC STORAGE 08482,Home,Sale,-1201.00
2025-12-03,PUBLIC STORAGE 08482,Home,Sale,-671.00
2025-12-01,PAYPAL *WIKIPEDIA,Gifts & Donations,Sale,-5.00
2025-12-01,ANNUAL MEMBERSHIP FEE,Fees & Adjustments,Fee,-95.00
2025-12-01,SHOEBOXED.COM,Shopping,Sale,-69.00
2025-11-30,PAYPAL *INTERNETARC,Gifts & Donations,Sale,-50.00
2025-11-30,BLUE SHIELD,Bills & Utilities,Sale,-345.00
2025-11-28,GOOGLE *Google One,Entertainment,Sale,-19.99
2025-11-30,Marina Cleaners Inc.,Personal,Sale,-36.00
2025-11-28,GOOGLE *GitHub,Entertainment,Sale,-38.99
2025-11-26,NETFLIX.COM,Bills & Utilities,Sale,-7.99
2025-11-24,SF CHRONICLE,Bills & Utilities,Sale,-19.96
2025-11-24,Spotify,Bills & Utilities,Sale,-19.99
2025-11-23,Marina Cleaners Inc.,Personal,Sale,-36.00
2025-11-22,GITHUB,Professional Services,Sale,-5.00
2025-11-22,GITHUB INC.,Professional Services,Sale,-43.00
2025-11-20,FLICKR PRO,Personal,Sale,-11.00
2025-11-19,LORENZOLUCCHESI.SUBSTA,Shopping,Sale,-80.00
2025-11-17,GOOGLE *FI,Bills & Utilities,Sale,-143.19
2025-11-17,ST. PAULS,Gifts & Donations,Sale,-20.00
2025-11-16,Marina Cleaners Inc.,Personal,Sale,-36.00
2025-11-16,OPENAI *CHATGPT,Shopping,Sale,-20.00
2025-11-15,NYTIMES*,Bills & Utilities,Sale,-33.00
2025-11-13,SYR UNIV ONLINE GIFTS,Education,Sale,-25.00
2025-11-12,BUCKINGHAM BROWNE &,Gifts & Donations,Sale,-25.00
2025-11-10,Marina Cleaners Inc.,Personal,Sale,-36.00
2025-11-09,SILVERSCRIPT INS CO,Health & Wellness,Sale,-56.50
2025-11-08,Microsoft*Microsoft Copil,Shopping,Sale,-20.00
2025-11-04,AUTOMATIC PAYMENT - THANK,,Payment,3023.13
2025-11-02,Marina Cleaners Inc.,Personal,Sale,-36.00
2025-11-03,PUBLIC STORAGE 08482,Home,Sale,-1201.00
2025-11-03,PUBLIC STORAGE 08482,Home,Sale,-671.00
2025-10-31,PAYPAL *INTERNETARC,Gifts & Donations,Sale,-50.00
2025-10-31,BLUE SHIELD,Bills & Utilities,Sale,-345.00
2025-11-01,PAYPAL *WIKIPEDIA,Gifts & Donations,Sale,-5.00
2025-11-01,SHOEBOXED.COM,Shopping,Sale,-69.00
2025-10-28,GOOGLE *GitHub,Entertainment,Sale,-38.99
2025-10-28,GOOGLE *Google One,Entertainment,Sale,-19.99
2025-10-27,SF CHRONICLE,Bills & Utilities,Sale,-19.96
2025-10-26,Marina Cleaners Inc.,Personal,Sale,-36.00
2025-10-26,NETFLIX.COM,Bills & Utilities,Sale,-7.99
2025-10-24,Spotify,Bills & Utilities,Sale,-19.99
2025-10-22,GITHUB,Professional Services,Sale,-5.00
2025-10-22,GITHUB INC.,Professional Services,Sale,-43.00
2025-10-20,FLICKR PRO,Personal,Sale,-11.00
2025-10-20,Evernote,Shopping,Sale,-129.99
2025-10-19,Marina Cleaners Inc.,Personal,Sale,-36.00
2025-10-17,GOOGLE *FI,Bills & Utilities,Sale,-142.99
2025-10-18,NYTIMES*,Bills & Utilities,Sale,-33.00
2025-10-16,OPENAI *CHATGPT,Shopping,Sale,-20.00
2025-10-15,ST. PAULS,Gifts & Donations,Sale,-20.00
2025-10-13,CALIFORNIA WINE,Entertainment,Sale,-283.00
2025-10-13,SYR UNIV ONLINE GIFTS,Education,Sale,-25.00
2025-10-12,BUCKINGHAM BROWNE &,Gifts & Donations,Sale,-25.00
2025-10-09,SILVERSCRIPT INS CO,Health & Wellness,Sale,-56.50
2025-10-08,Microsoft*Microsoft Copil,Shopping,Sale,-20.00
2025-10-05,Marina Cleaners Inc.,Personal,Sale,-36.00
2025-10-03,AUTOMATIC PAYMENT - THANK,,Payment,3074.26
2025-10-03,PUBLIC STORAGE 08482,Home,Sale,-1201.00
2025-10-03,PUBLIC STORAGE 08482,Home,Sale,-671.00
2025-10-01,SHOEBOXED.COM,Shopping,Sale,-69.00
2025-10-01,PAYPAL *WIKIPEDIA,Gifts & Donations,Sale,-5.00
2025-09-30,BLUE SHIELD,Bills & Utilities,Sale,-345.00
2025-09-30,PAYPAL *INTERNETARC,Gifts & Donations,Sale,-50.00
2025-09-29,SF CHRONICLE,Bills & Utilities,Sale,-19.96
2025-09-28,GOOGLE *GitHub,Shopping,Sale,-38.99
2025-09-28,GOOGLE *Google One,Entertainment,Sale,-19.99
2025-09-28,Marina Cleaners Inc.,Personal,Sale,-44.00
2025-09-26,NETFLIX.COM,Bills & Utilities,Sale,-7.99
2025-09-24,Spotify,Bills & Utilities,Sale,-19.99
2025-09-22,GITHUB,Professional Services,Sale,-5.00
2025-09-22,GITHUB INC.,Professional Services,Sale,-43.00
2025-09-21,Marina Cleaners Inc.,Personal,Sale,-32.00
2025-09-20,FLICKR PRO,Personal,Sale,-10.44
2025-09-20,NYTIMES*,Bills & Utilities,Sale,-33.00
2025-09-17,GOOGLE *FI,Bills & Utilities,Sale,-129.27
2025-09-16,OPENAI *CHATGPT,Shopping,Sale,-20.00
2025-09-16,Marina Cleaners Inc.,Personal,Sale,-40.00
2025-09-15,ST. PAULS,Gifts & Donations,Sale,-20.00
2025-09-13,SYR UNIV ONLINE GIFTS,Education,Sale,-25.00
2025-09-12,BUCKINGHAM BROWNE &,Gifts & Donations,Sale,-25.00
2025-09-09,SILVERSCRIPT INS CO,Health & Wellness,Sale,-56.50
2025-09-08,Microsoft*Microsoft Copil,Shopping,Sale,-20.00
2025-09-07,Marina Cleaners Inc.,Personal,Sale,-36.00
2025-09-04,AUTOMATIC PAYMENT - THANK,,Payment,4179.38
2025-09-01,Marina Cleaners Inc.,Personal,Sale,-36.00
2025-09-03,PUBLIC STORAGE 08482,Home,Sale,-671.00
2025-09-03,PUBLIC STORAGE 08482,Home,Sale,-1201.00
2025-09-01,SHOEBOXED.COM,Shopping,Sale,-69.00
2025-09-01,SF CHRONICLE,Bills & Utilities,Sale,-19.96
2025-09-01,PAYPAL *WIKIPEDIA,Gifts & Donations,Sale,-5.00
2025-08-31,BLUE SHIELD,Bills & Utilities,Sale,-345.00
2025-08-31,PAYPAL *INTERNETARC,Gifts & Donations,Sale,-50.00
2025-08-28,GOOGLE *GitHub,Entertainment,Sale,-38.99
2025-08-28,GOOGLE *Google One,Entertainment,Sale,-19.99
2025-08-26,NETFLIX.COM,Bills & Utilities,Sale,-7.99
2025-08-24,Marina Cleaners Inc.,Personal,Sale,-44.00
2025-08-23,NYTIMES*,Bills & Utilities,Sale,-33.00
2025-08-23,AXIOS,Entertainment,Sale,-50.00
2025-08-22,GITHUB,Professional Services,Sale,-5.00
2025-08-22,GITHUB INC.,Professional Services,Sale,-43.00
2025-08-24,Spotify,Bills & Utilities,Sale,-19.99
2025-08-20,FLICKR PRO,Personal,Sale,-10.44
2025-08-17,Marina Cleaners Inc.,Personal,Sale,-40.00
2025-08-17,GOOGLE *FI,Bills & Utilities,Sale,-169.40
2025-08-16,OPENAI *CHATGPT,Shopping,Sale,-20.00
2025-08-15,ST. PAULS,Gifts & Donations,Sale,-20.00
2025-08-15,GUARDIAN NEWS & MEDIA,Shopping,Sale,-25.00
2025-08-13,SYR UNIV ONLINE GIFTS,Education,Sale,-25.00
2025-08-12,BUCKINGHAM BROWNE &,Gifts & Donations,Sale,-25.00
2025-08-10,Marina Cleaners Inc.,Personal,Sale,-4.00
2025-08-09,SILVERSCRIPT INS CO,Health & Wellness,Sale,-56.50
2025-08-08,MICROSOFT*MICROSOFT CO,Shopping,Sale,-20.00
2025-08-04,SF CHRONICLE,Bills & Utilities,Sale,-13.96
2025-08-04,Marina Cleaners Inc.,Personal,Sale,-36.00
2025-08-04,AUTOMATIC PAYMENT - THANK,,Payment,2916.67
2025-08-03,CNP* NEWYORKER - DIGIT,Professional Services,Sale,-52.00
2025-08-04,SLOW,Personal,Sale,-80.00
2025-08-01,PAYPAL *WIKIPEDIA,Gifts & Donations,Sale,-5.00
2025-08-02,MEDIUM,Bills & Utilities,Sale,-150.00
2025-08-03,PUBLIC STORAGE 08482,Home,Sale,-671.00
2025-08-03,PUBLIC STORAGE 08482,Home,Sale,-1201.00
2025-08-01,SHOEBOXED.COM,Shopping,Sale,-69.00
2025-07-31,PAYPAL *INTERNETARC,Gifts & Donations,Sale,-50.00
2025-07-31,BLUE SHIELD,Bills & Utilities,Sale,-345.00
2025-07-28,GOOGLE *GitHub,Shopping,Sale,-38.99
2025-07-28,GITHUB INC.,Professional Services,Sale,-23.39
2025-07-28,GOOGLE *Google One,Shopping,Sale,-19.99
2025-07-26,MARINA,Personal,Sale,-36.00
2025-07-26,NYTIMES*,Bills & Utilities,Sale,-33.00
2025-07-26,NETFLIX.COM,Bills & Utilities,Sale,-7.99
2025-07-24,DREAMHOST,Bills & Utilities,Sale,-155.88
2025-07-24,Spotify,Bills & Utilities,Sale,-19.99
2025-07-22,GITHUB,Professional Services,Sale,-5.00
2025-07-22,SQSP*,Professional Services,Sale,-12.00
2025-07-22,GITHUB INC.,Professional Services,Sale,-14.00
2025-07-19,MARINA,Personal,Sale,-36.00
2025-07-20,FLICKR PRO,Personal,Sale,-10.44
2025-07-19,GOOGLE *Perplexity Ask,Shopping,Sale,-199.99
2025-07-17,GOOGLE *FI,Bills & Utilities,Sale,-160.25
2025-07-17,PHARMERICA SENIOR LIVIN,Health & Wellness,Sale,-69.55
2025-07-16,OPENAI *CHATGPT,Shopping,Sale,-20.00
2025-07-15,ST. PAULS,Gifts & Donations,Sale,-20.00
2025-07-12,MARINA,Personal,Sale,-36.00
2025-07-13,SYR UNIV ONLINE GIFTS,Education,Sale,-25.00
2025-07-12,BUCKINGHAM BROWNE &,Gifts & Donations,Sale,-25.00
